D-00437,P23280
D-00437,P27695
D-00437,P46063
D-00437,Q16236
D-00437,Q96KQ7
D-00437,Q99714
D-00437,Q9UBT6
D-00440,Q9Y2T3
D-00444,P29475
D-00444,P35228
D-00445,P29474
D-00445,P29475
D-00445,P35228
D-00446,P29474
D-00446,P29475
D-00447,P29474
D-00447,P29475
D-00447,P35228
D-00449,P29475
D-00449,P35228
D-00450,P35228
D-00458,O43570
D-00458,O75164
D-00458,O75496
D-00458,O75874
D-00458,P00352
D-00458,P03372
D-00458,P04637
D-00458,P07451
D-00458,P07900
D-00458,P10275
D-00458,P15428
D-00458,P16050
D-00458,P22748
D-00458,P23280
D-00458,P35218
D-00458,P42858
D-00458,P43166
D-00458,P43220
D-00458,P51449
D-00458,P55789
D-00458,P84022
D-00458,Q12809
D-00458,Q16790
D-00458,Q8N1Q1
D-00458,Q96KQ7
D-00458,Q99700
D-00458,Q99714
D-00458,Q9ULX7
D-00458,Q9Y2D0
D-00460,P00325
D-00460,P00326
D-00460,P07327
D-00461,P00734
D-00478,P10275
D-00483,O75164
D-00489,P0DMS8
D-00489,P21728
D-00489,P30531
D-00492,P10275
D-00499,P04637
D-00501,P07451
D-00501,Q16790
D-00502,Q8TDS4
D-00512,Q96KQ7
D-00513,P29475
D-00513,P35228
D-00514,P29475
D-00514,P35228
D-00536,Q4U2R8
D-00543,O75762
D-00543,P00352
D-00545,Q9UKM7
D-00549,P08684
D-00549,P11509
D-00549,P11712
D-00551,P16473
D-00553,P06737
D-00553,P35573
D-00553,Q9UKM7
D-00554,P04062
D-00556,O75496
D-00563,P11086
D-00563,P32245
D-00564,O60341
D-00564,P05177
D-00564,P08908
D-00564,P11509
D-00564,P20813
D-00564,P21397
D-00564,P23975
D-00564,P27338
D-00564,P28335
D-00564,P33261
D-00564,Q01959
D-00564,Q16696
D-00564,Q96RJ0
D-00573,P10275
D-00575,P09917
D-00576,Q16236
D-00577,P08684
D-00584,Q04609
D-00586,P24046
D-00589,P47989
D-00589,Q13148
D-00590,P00325
D-00590,P00326
D-00591,P14416
D-00591,P21917
D-00592,O60240
D-00592,P00352
D-00592,Q00G26
D-00592,Q96KQ7
D-00599,P08908
D-00599,P11509
D-00599,P23975
D-00599,P31645
D-00599,Q01959
D-00599,Q96RJ0
D-00601,Q96RJ0
D-00602,P06858
D-00603,Q12882
D-00605,P47989
D-00617,Q9Y2I1
D-00618,P09874
D-00621,Q96RJ0
D-00624,O60341
D-00624,P05177
D-00624,P08684
D-00624,P10632
D-00624,P10635
D-00624,P11712
D-00624,P21397
D-00624,P27338
D-00624,P33261
D-00624,P55789
D-00624,Q01959
D-00624,Q16853
D-00629,O75762
D-00637,P00915
D-00637,P00918
D-00639,P00915
D-00639,P00918
D-00641,O15379
D-00641,Q13547
D-00641,Q92769
D-00641,Q9BY41
D-00641,Q9UBN7
D-00642,P09874
D-00643,P08684
D-00643,P33261
D-00649,P21728
D-00649,Q96RJ0
D-00650,Q9H3N8
D-00650,Q9Y5N1
D-00651,Q16769
D-00656,O43570
D-00656,P00915
D-00656,P00918
D-00657,O43570
D-00657,P00533
D-00657,P00915
D-00657,P00918
D-00657,P07451
D-00657,P22748
D-00657,P23280
D-00657,P35218
D-00657,P43166
D-00657,Q16790
D-00657,Q9ULX7
D-00657,Q9Y2D0
D-00660,P07384
D-00665,P29475
D-00665,P35228
D-00666,P14902
D-00674,B2RXH2
D-00674,Q96KQ7
D-00675,Q96KQ7
D-00675,Q9NUW8
D-00683,Q9H3N8
D-00683,Q9Y5N1
D-00696,P14867
D-00696,P31644
D-00696,P34903
D-00696,P47869
D-00696,Q16445
D-00704,P29474
D-00704,P29475
D-00704,P35228
D-00705,P29475
D-00705,P35228
D-00708,Q9UBS5
D-00717,P14679
D-00717,P14920
D-00729,P14902
D-00737,O75164
D-00744,P00325
D-00744,P07327
D-00744,P40394
D-00754,P08684
D-00755,P08684
D-00755,P14902
D-00758,Q13547
D-00759,Q4U2R8
D-00759,Q8TCC7
D-00765,P29474
D-00765,P29475
D-00765,P35228
D-00766,P29474
D-00766,P29475
D-00766,P35228
D-00767,P29474
D-00767,P29475
D-00767,P35228
D-00781,P09874
D-00782,O43570
D-00782,P00915
D-00782,P07451
D-00782,P22748
D-00782,P23280
D-00782,P35218
D-00782,P43166
D-00782,Q16790
D-00782,Q8N1Q1
D-00782,Q9ULX7
D-00782,Q9Y2D0
D-00783,P10275
D-00783,P50579
D-00783,P51449
D-00783,P84022
D-00783,Q16236
